DATE,AZSTHPI
2016-01-01,333.0
2016-04-01,339.93
2016-07-01,345.58
2016-10-01,351.18
2017-01-01,356.33
2017-04-01,365.53
2017-07-01,373.24
2017-10-01,377.61
2018-01-01,385.45
2018-04-01,393.53
2018-07-01,402.62
2018-10-01,407.27
2019-01-01,412.54
2019-04-01,420.72
2019-07-01,427.05
2019-10-01,434.4
2020-01-01,443.13
2020-04-01,450.87
2020-07-01,461.88
2020-10-01,478.18
2021-01-01,499.51
2021-04-01,539.26
2021-07-01,584.01
2021-10-01,613.79
2022-01-01,643.06
2022-04-01,693.14
2022-07-01,702.91
2022-10-01,680.08
