DATE,CASTHPI
2016-01-01,544.56
2016-04-01,554.21
2016-07-01,566.34
2016-10-01,573.16
2017-01-01,579.13
2017-04-01,591.14
2017-07-01,602.91
2017-10-01,611.56
2018-01-01,622.0
2018-04-01,633.87
2018-07-01,641.86
2018-10-01,641.79
2019-01-01,645.92
2019-04-01,652.51
2019-07-01,659.4
2019-10-01,663.69
2020-01-01,669.93
2020-04-01,677.61
2020-07-01,685.53
2020-10-01,699.67
2021-01-01,719.24
2021-04-01,761.9
2021-07-01,801.54
2021-10-01,834.06
2022-01-01,868.4
2022-04-01,922.93
2022-07-01,917.43
2022-10-01,896.33
