DATE,MEDSQUFEEIL
2016-07-01,1852.0
2016-08-01,1826.0
2016-09-01,1807.0
2016-10-01,1800.0
2016-11-01,1800.0
2016-12-01,1780.0
2017-01-01,1776.0
2017-02-01,1800.0
2017-03-01,1833.0
2017-04-01,1871.0
2017-05-01,1893.0
2017-06-01,1900.0
2017-07-01,1896.0
2017-08-01,1869.0
2017-09-01,1856.0
2017-10-01,1845.0
2017-11-01,1827.0
2017-12-01,1800.0
2018-01-01,1800.0
2018-02-01,1813.0
2018-03-01,1857.0
2018-04-01,1890.0
2018-05-01,1899.0
2018-06-01,1900.0
2018-07-01,1882.0
2018-08-01,1858.0
2018-09-01,1850.0
2018-10-01,1829.0
2018-11-01,1810.0
2018-12-01,1789.0
2019-01-01,1773.0
2019-02-01,1790.0
2019-03-01,1821.0
2019-04-01,1850.0
2019-05-01,1868.0
2019-06-01,1874.0
2019-07-01,1880.0
2019-08-01,1857.0
2019-09-01,1834.0
2019-10-01,1818.0
2019-11-01,1800.0
2019-12-01,1778.0
2020-01-01,1768.0
2020-02-01,1800.0
2020-03-01,1825.0
2020-04-01,1809.0
2020-05-01,1836.0
2020-06-01,1842.0
2020-07-01,1822.0
2020-08-01,1800.0
2020-09-01,1762.0
2020-10-01,1726.0
2020-11-01,1677.0
2020-12-01,1642.0
2021-01-01,1609.0
2021-02-01,1601.0
2021-03-01,1611.0
2021-04-01,1632.0
2021-05-01,1654.0
2021-06-01,1679.0
2021-07-01,1680.0
2021-08-01,1655.0
2021-09-01,1637.0
2021-10-01,1614.0
2021-11-01,1600.0
2021-12-01,1568.0
2022-01-01,1536.0
2022-02-01,1525.0
2022-03-01,1561.0
2022-04-01,1595.0
2022-05-01,1640.0
2022-06-01,1670.0
2022-07-01,1682.0
2022-08-01,1680.0
2022-09-01,1683.0
2022-10-01,1688.0
2022-11-01,1671.0
2022-12-01,1640.0
